date,white_rating,black_rating,my_color,my_rating,opponent_rating,rating_diff,my_result,my_win,time_class,turns
2021-02-26,638,962,white,638,962,-324,loss,0,rapid,80
2021-02-26,796,619,black,619,796,-177,loss,0,bullet,31
2021-02-26,765,588,white,765,588,177,win,1,rapid,27
2021-02-26,581,824,black,824,581,243,win,1,rapid,80
2021-02-26,679,598,white,679,598,81,loss,0,rapid,26
2021-02-26,589,736,black,736,589,147,win,1,rapid,82
2021-02-26,774,582,white,774,582,192,win,1,rapid,37
2021-02-26,576,802,black,802,576,226,win,1,rapid,62
2021-02-26,824,571,white,824,571,253,win,1,rapid,49
2021-02-27,750,862,black,862,750,112,win,1,rapid,72
2021-02-27,912,909,black,909,912,-3,win,1,rapid,32
2021-02-27,896,945,black,945,896,49,win,1,rapid,52
2021-02-27,971,863,white,971,863,108,win,1,rapid,70
2021-02-28,980,1003,black,1003,980,23,win,1,rapid,68
2021-02-28,704,441,white,704,441,263,win,1,bullet,43
2021-02-28,759,608,black,608,759,-151,loss,0,bullet,39
2021-02-28,683,538,white,683,538,145,win,1,bullet,49
2021-03-01,619,751,white,619,751,-132,loss,0,bullet,42
2021-03-04,946,230,white,946,230,716,loss,0,rapid,8
2021-03-04,229,947,black,947,229,718,win,1,rapid,78
2021-03-04,948,228,white,948,228,720,win,1,rapid,51
2021-03-04,227,949,black,949,227,722,win,1,rapid,78
2021-03-04,922,256,white,922,256,666,draw,0,rapid,115
2021-03-04,901,1011,white,901,1011,-110,loss,0,rapid,38
2021-03-04,895,901,black,901,895,6,draw,0,rapid,123
2021-03-04,927,923,white,927,923,4,win,1,rapid,43
2021-03-04,896,948,black,948,896,52,win,1,rapid,102
2021-03-04,894,966,black,966,894,72,win,1,rapid,45
2021-03-04,992,988,black,988,992,-4,win,1,rapid,8
2021-03-05,972,1042,white,972,1042,-70,loss,0,rapid,66
2021-03-05,953,951,white,953,951,2,loss,0,rapid,46
2021-03-05,1006,938,black,938,1006,-68,loss,0,rapid,71
2021-03-05,931,921,black,921,931,-10,loss,0,rapid,51
2021-03-05,921,925,white,921,925,-4,draw,0,rapid,149
2021-03-05,912,905,black,905,912,-7,loss,0,rapid,71
2021-03-05,919,898,white,919,898,21,win,1,rapid,56
2021-03-05,905,913,white,905,913,-8,loss,0,rapid,52
2021-03-05,921,892,black,892,921,-29,loss,0,rapid,47
2021-03-05,906,910,white,906,910,-4,win,1,rapid,82
2021-03-06,886,893,black,893,886,7,loss,0,rapid,27
2021-03-06,846,904,black,904,846,58,win,1,rapid,34
2021-03-06,914,865,white,914,865,49,win,1,rapid,73
2021-03-06,903,942,white,903,942,-39,loss,0,rapid,40
2021-03-06,873,913,black,913,873,40,win,1,rapid,46
2021-03-07,912,902,black,902,912,-10,loss,0,rapid,105
2021-03-07,913,927,white,913,927,-14,win,1,rapid,77
2021-03-07,916,903,black,903,916,-13,loss,0,rapid,45
2021-03-07,912,877,white,912,877,35,win,1,rapid,111
2021-03-07,885,921,black,921,885,36,win,1,rapid,46
2021-03-07,931,932,white,931,932,-1,win,1,rapid,11
2021-03-07,930,922,black,922,930,-8,loss,0,rapid,7
2021-03-07,914,944,white,914,944,-30,loss,0,rapid,82
2021-03-07,905,885,white,905,885,20,loss,0,rapid,46
2021-03-12,896,923,white,896,923,-27,loss,0,rapid,64
2021-03-13,946,888,black,888,946,-58,loss,0,rapid,65
2021-03-13,911,897,black,897,911,-14,win,1,rapid,34
2021-03-13,889,918,white,889,918,-29,loss,0,rapid,120
2021-03-13,909,898,black,898,909,-11,win,1,rapid,26
2021-03-13,887,906,black,906,887,19,win,1,rapid,39
2021-03-14,943,915,black,915,943,-28,win,1,rapid,88
2021-03-14,982,806,white,982,806,176,win,1,blitz,61
2021-03-14,868,996,white,868,996,-128,loss,0,blitz,80
2021-03-14,772,843,white,772,843,-71,loss,0,blitz,120
2021-03-14,781,702,black,702,781,-79,loss,0,blitz,71
2021-03-14,760,694,white,760,694,66,win,1,blitz,47
2021-03-14,709,804,black,804,709,95,win,1,blitz,82
2021-03-14,907,911,white,907,911,-4,loss,0,rapid,78
2021-03-14,917,899,black,899,917,-18,loss,0,rapid,45
2021-03-14,881,907,black,907,881,26,win,1,rapid,60
2021-03-14,904,915,black,915,904,11,win,1,rapid,50
2021-03-14,906,881,white,906,881,25,loss,0,rapid,52
2021-03-14,890,914,black,914,890,24,win,1,rapid,58
2021-03-14,923,955,white,923,955,-32,win,1,rapid,201
2021-03-15,932,952,white,932,952,-20,win,1,rapid,63
2021-03-15,969,925,black,925,969,-44,loss,0,rapid,71
2021-03-15,916,898,white,916,898,18,loss,0,rapid,92
2021-03-15,908,909,white,908,909,-1,loss,0,rapid,77
2021-03-15,888,899,black,899,888,11,loss,0,rapid,27
2021-03-15,668,905,black,905,668,237,win,1,rapid,82
2021-03-16,910,897,black,897,910,-13,loss,0,rapid,93
2021-03-16,889,886,white,889,886,3,loss,0,rapid,40
2021-03-18,897,882,white,897,882,15,win,1,rapid,36
2021-03-18,993,891,black,891,993,-102,loss,0,rapid,20
2021-03-18,941,884,black,884,941,-57,loss,0,rapid,65
2021-03-19,892,857,white,892,857,35,win,1,rapid,34
2021-03-19,836,899,black,899,836,63,win,1,rapid,46
2021-03-19,900,934,white,900,934,-34,draw,0,rapid,82
2021-03-19,941,893,black,893,941,-48,loss,0,rapid,21
2021-03-19,899,810,white,899,810,89,win,1,rapid,55
2021-03-20,809,805,black,805,809,-4,draw,0,blitz,49
2021-03-20,865,771,black,771,865,-94,loss,0,blitz,99
2021-03-21,904,768,white,904,768,136,win,1,rapid,83
2021-03-21,736,781,white,736,781,-45,loss,0,blitz,66
2021-03-21,702,724,white,702,724,-22,loss,0,blitz,64
2021-03-21,672,730,black,730,672,58,win,1,blitz,50
2021-03-21,755,687,white,755,687,68,win,1,blitz,55
2021-03-21,993,898,black,898,993,-95,loss,0,rapid,49
2021-03-21,892,988,white,892,988,-96,loss,0,rapid,80
2021-03-21,885,900,black,900,885,15,win,1,rapid,77
2021-03-21,908,883,white,908,883,25,win,1,rapid,25
2021-03-22,936,909,black,909,936,-27,draw,0,rapid,107
2021-03-23,911,917,black,917,911,6,win,1,rapid,40
2021-03-24,580,548,black,548,580,-32,loss,0,bullet,7
2021-03-24,496,557,white,496,557,-61,loss,0,bullet,44
2021-03-27,894,908,black,908,894,14,loss,0,rapid,49
2021-03-27,917,931,white,917,931,-14,win,1,rapid,9
2021-03-27,926,938,white,926,938,-12,win,1,rapid,101
2021-03-27,922,918,black,918,922,-4,loss,0,rapid,29
2021-03-27,908,820,white,908,820,88,loss,0,rapid,20
2021-03-27,915,844,white,915,844,71,win,1,rapid,50
2021-03-27,907,911,white,907,911,-4,loss,0,rapid,38
2021-03-27,877,914,black,914,877,37,win,1,rapid,78
2021-03-27,922,893,white,922,893,29,win,1,rapid,79
2021-03-27,941,914,black,914,941,-27,loss,0,rapid,45
2021-03-28,908,906,black,906,908,-2,loss,0,rapid,71
2021-03-28,946,899,black,899,946,-47,loss,0,rapid,49
2021-03-28,892,942,white,892,942,-50,loss,0,rapid,36
2021-03-28,900,876,white,900,876,24,win,1,rapid,7
2021-03-28,914,892,black,892,914,-22,loss,0,rapid,85
2021-03-28,933,901,black,901,933,-32,win,1,rapid,46
2021-03-28,908,848,white,908,848,60,win,1,rapid,9
2021-03-28,900,924,white,900,924,-24,loss,0,rapid,38
2021-03-28,910,988,white,910,988,-78,win,1,rapid,57
2021-03-28,911,966,white,911,966,-55,draw,0,rapid,135
2021-03-28,854,918,black,918,854,64,win,1,rapid,36
2021-03-28,888,909,black,909,888,21,loss,0,rapid,55
2021-03-28,909,901,black,901,909,-8,loss,0,rapid,23
2021-03-28,908,862,white,908,862,46,win,1,rapid,45
2021-03-28,916,901,white,916,901,15,win,1,rapid,53
2021-03-28,909,971,white,909,971,-62,loss,0,rapid,56
2021-03-28,929,901,black,901,929,-28,loss,0,rapid,91
2021-03-29,883,892,black,892,883,9,loss,0,rapid,53
2021-03-30,884,897,white,884,897,-13,loss,0,rapid,44
2021-03-30,892,884,white,892,884,8,win,1,rapid,45
2021-03-30,911,901,black,901,911,-10,win,1,rapid,76
2021-03-31,932,894,black,894,932,-38,loss,0,rapid,43
2021-03-31,863,885,black,885,863,22,loss,0,rapid,37
2021-03-31,893,890,white,893,890,3,win,1,rapid,44
2021-04-01,904,1018,white,904,1018,-114,win,1,rapid,62
2021-04-01,894,904,black,904,894,10,draw,0,rapid,70
2021-04-02,913,932,white,913,932,-19,win,1,rapid,60
2021-04-02,928,905,black,905,928,-23,loss,0,rapid,47
2021-04-02,913,814,white,913,814,99,win,1,rapid,7
2021-04-02,921,893,white,921,893,28,win,1,rapid,89
2021-04-02,936,930,black,930,936,-6,win,1,rapid,38
2021-04-02,938,922,white,938,922,16,win,1,rapid,131
